2004,,,,,,
Party,Votes,%,Seats,,,
NTR Telugu Desam Party (Lakshmi Parvathi),759,0,0,,,
Akhil Bhartiya Loktantra Party,754,0,0,,,
Jebamani Janata,734,0,0,,,
Niswarth Sewa Party,730,0,0,,,
Jan Chetna Party,671,0,0,,,
Hindu Ekta Andolan Party,620,0,0,,,
Krantikari Manuwadi Morcha,597,0,0,,,
Bharatiya Prajatantra Party,573,0,0,,,
Bharatiya Muhabbat Party (All India),566,0,0,,,
Manav Jagriti Manch,552,0,0,,,
Bharatiya Janvadi Party,543,0,0,,,
Bharatiya Surajya Manch,515,0,0,,,
Rashtriya Janadhikar Party,487,0,0,,,
Praja Party,485,0,0,,,
Bharti Sarvadarshi Parishad,427,0,0,,,
Shoshit Samaj Party,395,0,0,,,
Rashtriya Sakar Party,379,0,0,,,
Bharatiya Sarvkalyan Krantidal,365,0,0,,,
Awami Party,327,0,0,,,
Swaraj Dal,298,0,0,,,
Akhand Bharti,138,0,0,,,
Parmarth Party,126,0,0,,,
Independents,16549900,4.25,5,,,
Nominated Anglo-Indian,,,,2,,
Total,,389779784,100,545,,
,,,,,,
Valid votes,,389779784,99.96,,,
Invalid/blank votes,,168546,0.04,,,
Total votes,,389948330,100,,,
Registered voters/turnout,,671487930,58.07,,,
,,,,,,
2009,,,,,,
Party,Votes,%,Seats,,,
Bharatiya Janata Party,171660230,31,282,,,
Indian National Congress,106935942,19.31,44,,,
Bahujan Samaj Party,22946346,4.14,0,,,
All India Trinamool Congress,21262665,3.84,34,,,
Samajwadi Party,18673089,3.37,5,,,
All India Anna Dravida Munnetra Kazhagam,18111579,3.27,37,,,
Communist Party of India (Marxist),17988955,3.25,9,,,
Telugu Desam Party,14099230,2.55,16,,,
YSR Congress Party,13995435,2.53,9,,,
Aam Aadmi Party,11325387,2.05,4,,,
Shiv Sena,10262544,1.85,18,,,
Dravida Munnetra Kazhagam,9631246,1.74,0,,,
Biju Janata Dal,9489946,1.71,20,,,
Nationalist Congress Party,8635558,1.56,6,,,
Rashtriya Janata Dal,7440937,1.34,4,,,
Telangana Rashtra Samithi,6736270,1.22,11,,,
Janata Dal (United),5992281,1.08,2,,,
Communist Party of India,4327460,0.78,1,,,
Janata Dal (Secular),3731481,0.67,2,,,
Shiromani Akali Dal,3636148,0.66,4,,,
Indian National Lok Dal,2799899,0.51,2,,,
All India United Democratic Front,2333040,0.42,3,,,
Lok Jan Shakti Party,2295929,0.41,6,,,
Desiya Murpokku Dravida Kazhagam,2078843,0.38,0,,,
Pattali Makkal Katchi,1827566,0.33,1,,,
Revolutionary Socialist Party,1666380,0.3,1,,,
Jharkhand Mukti Morcha,1637994,0.3,2,,,
Jharkhand Vikas Morcha (Prajatantrik),1579772,0.29,0,,,
Marumalarchi Dravida Munnetra Kazhagam,1417535,0.26,0,,,
All India Forward Bloc,1211418,0.22,0,,,
Swabhimani Paksha,1105073,0.2,1,,,
Indian Union Muslim League,1100096,0.2,2,,,
Rashtriya Lok Samta Party,1078473,0.19,3,,,
Communist Party of India (Marxist–Leninist) Liberati,1007275,0.18,0,,,
Naga People's Front,994505,0.18,1,,,
Apna Dal,821820,0.15,2,,,
Bahujan Mukti Party,791951,0.14,0,,,
Jammu and Kashmir Peoples Democratic Party,732644,0.13,3,,,
Maharashtra Navnirman Sena,708010,0.13,0,,,
Haryana Janhit Congress (BL),703698,0.13,0,,,
Rashtriya Lok Dal,696918,0.13,0,,,
All India Majlis-E-Ittehadul Muslimeen,685730,0.12,1,,,
Viduthalai Chiruthaigal Katchi,606110,0.11,0,,,
Asom Gana Parishad,577730,0.1,0,,,
National Peoples Party,576448,0.1,1,,,
Socialist Unity Centre of India (Communist),520972,0.09,0,,,
Peace Party,518724,0.09,0,,,
Peasants and Workers Party of India,497721,0.09,0,,,
All Jharkhand Students Union,488719,0.09,0,,,
Rashtriya Samaj Paksha,458580,0.08,0,,,
Kerala Congress (M),424194,0.08,1,,,
Jammu & Kashmir National Conference,396713,0.07,0,,,
Social Democratic Party of India,396524,0.07,0,,,
Bharipa Bahujan Mahasangh,360854,0.07,0,,,
Quami Ekta Dal,354577,0.06,0,,,
Bodoland People's Front,330106,0.06,0,,,
Socialist Janata (Democratic),307597,0.06,0,,,
Gondwana Ganatantra Party,301366,0.05,0,,,
Bahujan Vikas Aaghadi,293681,0.05,0,,,
Puthiya Tamilagam,262812,0.05,0,,,
All India N.R. Congress,255826,0.05,1,,,
Manithaneya Makkal Katchi,236679,0.04,0,,,
Welfare Party of India,228645,0.04,0,,,
Jai Bharat Samanta Party,215607,0.04,0,,,
Republican Party of India (Athawale),206689,0.04,0,,,
Jai Samaikyandhra Party,204260,0.04,0,,,
Jharkhand Party,203869,0.04,0,,,
Pyramid Party of India,185478,0.03,0,,,
Ambedkarite Party of India,185095,0.03,0,,,
Lok Satta Party,165670,0.03,0,,,
Sikkim Democratic Front,163698,0.03,1,,,
Aama Odisha Party,155900,0.03,0,,,
National Unionist Zamindara Party,124990,0.02,0,,,
Sikkim Krantikari Morcha,121956,0.02,0,,,
Suheldev Bhartiya Samaj Party,118947,0.02,0,,,
Communist Party of India (Marxist–Leninist) Red St,114323,0.02,0,,,
Marxist Co-ordination Committee,110185,0.02,0,,,
Jharkhand Disom Party,109843,0.02,0,,,
United Democratic Party,106817,0.02,0,,,
Rashtriya Parivartan Dal,95644,0.02,0,,,
Bharatiya Ekta Dal,90314,0.02,0,,,
Republican Party of India,87952,0.02,0,,,
Bhartiya Shakti Chetna Party,79359,0.01,0,,,
Amra Bangalee,74626,0.01,0,,,
Jammu and Kashmir People's Conference,71154,0.01,0,,,
Republican Paksha (Khoripa),70924,0.01,0,,,
Bahujan Sangharshh Dal,59815,0.01,0,,,
Samajwadi Janata Party (Rashtriya),59756,0.01,0,,,
Akhil Bharatiya Muslim League (Secular),59735,0.01,0,,,
Jai Maha Bharath Party,57988,0.01,0,,,
Jammu and Kashmir National Panthers Party,57103,0.01,0,,,
Rashtriya Ulama Council,56324,0.01,0,,,
Janta Dal Rashtravadi,53864,0.01,0,,,
Tamil Nadu Makkal Congress,49024,0.01,0,,,
Lokdal,48202,0.01,0,,,
Janvadi Party (Socialist),47696,0.01,0,,,
People's Party of Arunachal,47018,0.01,0,,,
Hindustan Janta Party,46761,0.01,0,,,
Rashtriya Krantikari Samajwadi Party,46756,0.01,0,,,
Bharat Vikas Morcha,45667,0.01,0,,,
Odisha Jan Morcha,44397,0.01,0,,,
Revolutionary Socialist Party of Kerala (Bolshevik),43051,0.01,0,,,
Chhattisgarh Swabhiman Manch,41908,0.01,0,,,
Socialist Party (India),41518,0.01,0,,,
Pragatisheel Manav Samaj Party,39039,0.01,0,,,
Rajnaitik Vikalp Party,38992,0.01,0,,,
Bharatiya Yuva Shakti,38633,0.01,0,,,
Rashtriya Deshaj Party,38322,0.01,0,,,
Naitik Party,36181,0.01,0,,,
Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),35516,0.01,0,,,
Karunaadu Party,33172,0.01,0,,,
Rashtriya Janadhikar Suraksha Party,32514,0.01,0,,,
Rashtriya Samanta Dal,30888,0.01,0,,,
Samyak Parivartan Party,30805,0.01,0,,,
Hindu Mahasabha,29483,0.01,0,,,
Paschimanchal Vikas Party,28775,0.01,0,,,
Prem Janata Dal,28671,0.01,0,,,
Jago Party,27624,0,0,,,
Jai Prakash Janata Dal,27619,0,0,,,
Ambedkar Samaj Party,27589,0,0,,,
Jai Hind Samaj Party,27122,0,0,,,
Vanchitsamaj Insaaf Party,23991,0,0,,,
Gareeb Aadmi Party,23505,0,0,,,
Republican Party of India (Khobragade),23110,0,0,,,
Mahan Dal,22774,0,0,,,
Party for Democratic Socialism,22284,0,0,,,
Mahajana Socialist Party,22022,0,0,,,
Samta Party,21631,0,0,,,
Bajjikanchal Vikas Party,21524,0,0,,,
Indigenous People's Front of Tripura,21326,0,0,,,
Prajatantrik Samadhan Party,21284,0,0,,,
Kalinga Sena,21143,0,0,,,
Samata Kranti Dal,20910,0,0,,,
Bharatiya Jana Sangh,20902,0,0,,,
Bharatiya National Janta Dal,20209,0,0,,,
Ambedkar National Congress,19863,0,0,,,
Prabuddha Republican Party,19470,0,0,,,
Most Backward Classes of India,19417,0,0,,,
Sarvajan Kalyan Loktantrik Party,19253,0,0,,,
Rashtriya Janasachetan Party,18210,0,0,,,
Manavtawadi Samaj Party,17890,0,0,,,
Desiya Forward Bloc,17465,0,0,,,
Socialistic Democratic Party,17435,0,0,,,
Indian Savarn Samaj Party,16903,0,0,,,
Jharkhand Party (Naren),16670,0,0,,,
Akhil Bhartiya Jharkhand Party,16616,0,0,,,
Samata Samadhan Party,16501,0,0,,,
Ambedkarist Republican Party,16461,0,0,,,
Shoshit Samaj Dal,16446,0,0,,,
Rashtriya Independent Morcha,16299,0,0,,,
Bharatiya Momin Front,16182,0,0,,,
Nav Bharat Democratic Party,16153,0,0,,,
Sankhyanupati Bhagidari Party,16078,0,0,,,
Naya Daur Party,15967,0,0,,,
Bharatiya Sant Mat Party,15940,0,0,,,
Moulik Adhikar Party,15742,0,0,,,
Sarva Janata Party,15474,0,0,,,
Ati Picchara party,15370,0,0,,,
Proutist Sarva Samaj,15368,0,0,,,
Jai Hind Party,14754,0,0,,,
Bharatiya Jan Kranti Dal (Democratic),14685,0,0,,,
Indian Christian Secular Party,14360,0,0,,,
Swaraj (J),14152,0,0,,,
Indian Unity Centre,13527,0,0,,,
Lok Bharati,13399,0,0,,,
Maharashtra Parivartan Sena (T),13339,0,0,,,
Lokpriya Samaj Party,13304,0,0,,,
Rashtriya Ahinsa Manch,13185,0,0,,,
Marxist Communist Party of India (United),13019,0,0,,,
Rashtriya Apna Dal,12366,0,0,,,
Jharkhand Anushilan Party,12240,0,0,,,
Andhra Rastra Praja Samithi,12042,0,0,,,
Adarsh Rashtriya Vikas Party,12037,0,0,,,
Indian National League,11924,0,0,,,
Aadivasi Sena Party,11362,0,0,,,
Swarajya Party of India,11361,0,0,,,
Majlis Bachao Tahreek,11347,0,0,,,
Minorities Democratic Party,11225,0,0,,,
Akhil Bhartiya Mithila Party,11221,0,0,,,
National Loktantrik Party,11174,0,0,,,
Bahujan Samaj Party (Ambedkar),11104,0,0,,,
Jharkhand Vikas Dal,10870,0,0,,,
Regional Democratic Secular Congress,10800,0,0,,,
Rashtriya Janwadi Party (Krantikari),10797,0,0,,,
Jamat-E-Seratul Mustakim,10564,0,0,,,
Megh Desham Party,10490,0,0,,,
Sarva Samaj Kalyan Party,10239,0,0,,,
Bharat Bhrashtachar Mitao Party,10160,0,0,,,
Rashtriya Gondvana Party,10142,0,0,,,
Loktantrik Janata Party (Secular),10026,0,0,,,
Samajwadi Jan Parishad,10008,0,0,,,
All India Minorities Front,9938,0,0,,,
Samruddha Odisha,9794,0,0,,,
Samtawadi Republican Party,9561,0,0,,,
Bharatiya Dr. B.R. Ambedkar Janta Party,9481,0,0,,,
Aam Janata Party,9371,0,0,,,
Apna Dal United Party,9265,0,0,,,
Ulzaipali Makkal Katchy,9194,0,0,,,
Tripura Pragatishil Gramin Congress,8952,0,0,,,
Hindusthan Nirman Dal,8889,0,0,,,
Hindusthan Praja Paksha,8853,0,0,,,
Bhartiya Ekta Manch Party,8729,0,0,,,
Rashtravadi Janata Party,8713,0,0,,,
Aadijan Mukti Sena,8544,0,0,,,
Makkal Manadu Katchi,8468,0,0,,,
Kosal Kranti Dal,8448,0,0,,,
Bharatiya Republican Paksha,8226,0,0,,,
Rajasthan Vikas Party,8152,0,0,,,
Shramajeevi Party,7953,0,0,,,
Hindustan Vikas Dal,7921,0,0,,,
Kisan Majdoor Berojgar Sangh,7839,0,0,,,
Dalita Bahujana Party,7746,0,0,,,
Rashtriya Congress (J) Party,7650,0,0,,,
All India Peoples' Front (Radical),7630,0,0,,,
Krantikari Vikas Dal,7541,0,0,,,
Bharatiya Kisan Parivartan Party,7342,0,0,,,
Peoples Guardian,7222,0,0,,,
Bharatiya Bahujan Congress,7197,0,0,,,
Rashtriya Jan-Jagram Morcha,7147,0,0,,,
Sanatan Sanskriti Raksha Dal,7115,0,0,,,
B.C. United Front,7036,0,0,,,
Rashtra Sewa Dal,6994,0,0,,,
Sanyukt Samajwadi Dal,6788,0,0,,,
Bihar Janta Party,6765,0,0,,,
Hindustan Krantikari Dal,6703,0,0,,,
Sarvajan Samaj Party (D),6681,0,0,,,
Jan Shakti Ekta Party,6636,0,0,,,
Samaikya Telugu Rajyam,6542,0,0,,,
Socialist Republican Party,6512,0,0,,,
"Proutist Bloc, India",6509,0,0,,,
United Communist Party of India,6472,0,0,,,
Indian Labour Party (Ambedkar Phule),6390,0,0,,,
Republican Backward Congress,6265,0,0,,,
Rashtriya Naujawan Dal,6192,0,0,,,
Al-Hind Party,5977,0,0,,,
Aarakshan Virodhi Party,5861,0,0,,,
Bhartiya Sarvjan Party,5845,0,0,,,
The Lok Party of India,5804,0,0,,,
Rashtriya Bahujan Congress Party,5801,0,0,,,
Bharatiya Gaon Taj Dal,5761,0,0,,,
Apna Desh Party,5579,0,0,,,
Deshbhakt Nirman Party,5485,0,0,,,
Bahujan Sangharsh Party (Kanshiram),5416,0,0,,,
Moderate Party,5406,0,0,,,
Bundelkhand Congress,5371,0,0,,,
Bharatiya Inqalab Party,5362,0,0,,,
Eklavya Samaj Party,5341,0,0,,,
Democratic Bharatiya Samaj Party,5240,0,0,,,
Agar Jan Party,5228,0,0,,,
Indian Krantikari Lehar,5084,0,0,,,
New India Party,5082,0,0,,,
Moolniwasi Samaj Party,4986,0,0,,,
Bhartiya Satya Sangharsh Party,4956,0,0,,,
Samajwadi Samaj Party,4947,0,0,,,
Samaikyandhra Parirakshana Samithi,4870,0,0,,,
Poorvanchal Rashtriya Congress,4852,0,0,,,
Kalyankari Jantantrik Party,4839,0,0,,,
Jan-Nyay Dal,4719,0,0,,,
Bhartiya Jantantrik Janata Dal,4664,0,0,,,
Bharatiya Bahujan Party,4653,0,0,,,
Rashtriya Jankranti Morcha,4647,0,0,,,
Yuva Sarkar,4578,0,0,,,
Rashtriya Congress (Babu Jagjivanram),4527,0,0,,,
Rayalaseema Parirakshana Samithi,4521,0,0,,,
Jan Sevak Party,4489,0,0,,,
Shakti Sena (Bharat Desh),4466,0,0,,,
Braj Vikas Party,4411,0,0,,,
Manav Mukti Morcha,4409,0,0,,,
Lok Parivartan Party (DC),4396,0,0,,,
All Jammu and Kashmir Kisan Majdoor Party,4392,0,0,,,
Awami Aamjan Party,4380,0,0,,,
Akhil Bharatiya Shivsena Rashtrawadi,4380,0,0,,,
Rashtriya Ambedkar Dal,4327,0,0,,,
Bharatiya Peoples Party,4291,0,0,,,
Jai Vijaya Bharathi Party,4270,0,0,,,
Chhattisgarhiya Party,4265,0,0,,,
Bhartiya Krishak Dal,4250,0,0,,,
Rastriya Insaaf Party,4219,0,0,,,
Rashtriya Sarvajan Party,4215,0,0,,,
Bhartiya Vanchitsamaj Party,4142,0,0,,,
Dharam Nirpeksh Dal,4130,0,0,,,
Rashtriya Janpriya Party,4117,0,0,,,
Rashtriya Kranti Party,4112,0,0,,,
Rajyadhikara Party,4112,0,0,,,
Parcham Party of India,4082,0,0,,,
Pragatisheel Samaj Party,4052,0,0,,,
Swatantra Samaj Party,4016,0,0,,,
Vichara Jagruthi Congress Paksha,3972,0,0,,,
Janta Raj Party,3846,0,0,,,
Nirjatita Samaj Biplabi Party,3829,0,0,,,
Bharatiya Kisan Sena Loktantrik,3826,0,0,,,
New All India Congress Party,3778,0,0,,,
Awami Vikas Party,3747,0,0,,,
Lok Shakti,3722,0,0,,,
Maharashtra Vikas Aghadi,3715,0,0,,,
National Development Party,3618,0,0,,,
Jharkhand Mukti Morcha (Ulgulan),3512,0,0,,,
Indian Peoples Green Party,3488,0,0,,,
Asankhya Samaj Party,3482,0,0,,,
Bharatiya Minorities Suraksha Mahasangh,3441,0,0,,,
Rashtriya Aam Party,3408,0,0,,,
Bharat Ki Lok Jimmedar Party,3392,0,0,,,
Bharti Jan Suraksha Party,3336,0,0,,,
Rashtriya Sant Sandesh Party,3283,0,0,,,
National Tiger Party,3251,0,0,,,
Bharatiya Rashtriya Bahujan Samaj Vikas Party,3238,0,0,,,
Pragatisheel Magahi Samaj,3076,0,0,,,
National Lokmat Party,3072,0,0,,,
Ezhuchi Tamilargal Munnetra Kazhagam,3023,0,0,,,
Ex-Sainik Kissan Party,2988,0,0,,,
Shoshit Sandesh Party,2982,0,0,,,
Rashtriya Viklang Party,2958,0,0,,,
Nagrik Ekta Party,2917,0,0,,,
Republican Bahujan Sena,2910,0,0,,,
Gorkha Rashtriya Congress,2906,0,0,,,
Jan Morcha,2901,0,0,,,
Vishva Hindustani Sangathan,2880,0,0,,,
Rashtriya Mahan Gantantra Party,2872,0,0,,,
Loktantrik Samajwadi Party,2820,0,0,,,
Rani Chennamma Party,2803,0,0,,,
Hindustan Kranti Dal,2761,0,0,,,
Andhra Pradesh Rashtra Samaikya Samithi Party,2743,0,0,,,
Jawan Kisan Morcha,2711,0,0,,,
Prism,2694,0,0,,,
Rashtriya Janshakti Party (Eklavya),2654,0,0,,,
Great India Party,2594,0,0,,,
Bhartiya Pragatisheel Congress,2571,0,0,,,
Inqalab Vikas Dal,2570,0,0,,,
Telangana Loksatta Party,2567,0,0,,,
Jan Raajya Party,2543,0,0,,,
Bharat Nav Nirman Party,2533,0,0,,,
Akhil Bharatiya Samajwadi Congress,2530,0,0,,,
Namadhu Makkal Katchi,2511,0,0,,,
Mahamukti Dal,2482,0,0,,,
Mahila Swabhiman Party,2425,0,0,,,
Bharatiya Sarvodaya Kranti Party,2409,0,0,,,
Rashtriya Vikas Party,2396,0,0,,,
Anaithindia Dravidar Samudaya Munnetra Kazhagam,2372,0,0,,,
Sarvshreshth Dal,2329,0,0,,,
Telangana Communist Party of India,2311,0,0,,,
Akhil Bhartiya Vikas Congress Party,2255,0,0,,,
Jantantra Party,2249,0,0,,,
Rashtriya Rashtrawadi Party,2225,0,0,,,
National Janhit Congress (AB),2196,0,0,,,
Rashtrawadi Samaj Party,2181,0,0,,,
Dharmarajya Paksha,2175,0,0,,,
Indian Peace Party,2155,0,0,,,
Bhartiya Republican Party (Insan),2138,0,0,,,
Atulya Bharat Party,2135,0,0,,,
Mahanwadi Party,2101,0,0,,,
Rashtriya Karmyog Party,2096,0,0,,,
