2004,,,,,,,,,,,,,,,,
By state and territory,,,,,,,,,,,,,,,,
States,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State/Union Territory,Seats,,,,,,,,,,,,,,,
,,UPA,NDA,LF,Others,,,,,,,,,,,
Telugu Desam Party,6,1,Third Front,,,,,,,,,,,,,
6 / 42â€ƒ(14,,,,,,,,,,,,,,,,
Telangana Rashtra Samithi,2,3,,,,,,,,,,,,,,
2 / 42â€ƒ(5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Arunachal Pradesh (2),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Arunachal Prades,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
INC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,2,2,United Progressive Alliance,,,,,,,,,,,,,
2 / 2â€ƒ(100,,,,,,,,,,,,,,,,
Bharatiya Janata Party,0,2,National Democratic Alliance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Assam (14),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Assa,,,,,,,,,,,,,,,,
7,4,1,1,1,,,,,,,,,,,,
INC,BJP,AGP,AIUDF,BDF,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,7, 2,United Progressive Alliance,,,,,,,,,,,,,
7 / 14â€ƒ(50,,,,,,,,,,,,,,,,
Bharatiya Janata Party,4,3,National Democratic Alliance,,,,,,,,,,,,,
4 / 14â€ƒ(29,,,,,,,,,,,,,,,,
Asom Gana Parishad,1, 1,,,,,,,,,,,,,,
1 / 14â€ƒ(7,,,,,,,,,,,,,,,,
All India United Democratic Front,1,1,Others,,,,,,,,,,,,,
1 / 14â€ƒ(7,,,,,,,,,,,,,,,,
Bodoland People's Front,1,1,,,,,,,,,,,,,,
1 / 14â€ƒ(7,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Bihar (40),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Biha,,,,,,,,,,,,,,,,
20,12,4,1,1,,,,,,,,,,,,
JD(U),BJP,RJD,INC,IND,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Janata Dal (United),20,14,National Democratic Alliance,,,,,,,,,,,,,
20 / 40â€ƒ(50,,,,,,,,,,,,,,,,
Bharatiya Janata Party,12,19,,,,,,,,,,,,,,
12 / 40â€ƒ(30,,,,,,,,,,,,,,,,
Rashtriya Janata Dal,4,18,Fourth Front,,,,,,,,,,,,,
4 / 40â€ƒ(10,,,,,,,,,,,,,,,,
Indian National Congress,2,2,United Progressive Alliance,,,,,,,,,,,,,
2 / 40â€ƒ(5,,,,,,,,,,,,,,,,
Independent,2,2,Others,,,,,,,,,,,,,
2 / 40â€ƒ(5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Chandigarh (1),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Chandigar,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
INC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,1,Steady,United Progressive Alliance,,,,,,,,,,,,,
1 / 1â€ƒ(100,,,,,,,,,,,,,,,,
Bharatiya Janata Party,0,Steady,National Democratic Alliance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Chhattisgarh (11),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Chhattisgar,,,,,,,,,,,,,,,,
10,1,,,,,,,,,,,,,,,
BJP,INC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,10,Steady,National Democratic Alliance,,,,,,,,,,,,,
10 / 11â€ƒ(91,,,,,,,,,,,,,,,,
Indian National Congress,1,Steady,United Progressive Alliance,,,,,,,,,,,,,
1 / 11â€ƒ(9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dadra & Nagar Haveli (1),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Dadra & Nagar Havel,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
BJP,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,1,Steady,National Democratic Alliance,,,,,,,,,,,,,
1 / 1â€ƒ(100,,,,,,,,,,,,,,,,
Indian National Congress,0,Steady,United Progressive Alliance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCT of Delhi (7),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Delh,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,
INC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,7,1,United Progressive Alliance,,,,,,,,,,,,,
7 / 7â€ƒ(100,,,,,,,,,,,,,,,,
Bharatiya Janata Party,0,1,National Democratic Alliance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Goa (2),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Go,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,
INC,BJP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,1,Steady,United Progressive Alliance,,,,,,,,,,,,,
1 / 2â€ƒ(50,,,,,,,,,,,,,,,,
Bharatiya Janata Party,1,Steady,National Democratic Alliance,,,,,,,,,,,,,
1 / 2â€ƒ(50,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gujarat (26),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Gujara,,,,,,,,,,,,,,,,
15,11,,,,,,,,,,,,,,,
BJP,INC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,15,1,National Democratic Alliance,,,,,,,,,,,,,
15 / 26â€ƒ(58,,,,,,,,,,,,,,,,
Indian National Congress,11,1,United Progressive Alliance,,,,,,,,,,,,,
11 / 26â€ƒ(42,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Haryana (10),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Haryan,,,,,,,,,,,,,,,,
9,1,,,,,,,,,,,,,,,
INC,HJC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,9,Steady,United Progressive Alliance,,,,,,,,,,,,,
9 / 10â€ƒ(90,,,,,,,,,,,,,,,,
Bharatiya Janata Party,0,1,National Democratic Alliance,,,,,,,,,,,,,
Haryana Janhit Congress (BL),1,1,Third Front,,,,,,,,,,,,,
1 / 10â€ƒ(10,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Himachal Pradesh (4),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Himachal Prades,,,,,,,,,,,,,,,,
3,1,,,,,,,,,,,,,,,
BJP,INC,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,3,Steady,National Democratic Alliance,,,,,,,,,,,,,
3 / 4â€ƒ(75,,,,,,,,,,,,,,,,
Indian National Congress,1,Steady,United Progressive Alliance,,,,,,,,,,,,,
1 / 4â€ƒ(25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jammu and Kashmir (6),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Jammu and Kashmi,,,,,,,,,,,,,,,,
3,2,1,,,,,,,,,,,,,,
JKNC,INC,IND,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Jammu & Kashmir National Conference,3,1,United Progressive Alliance,,,,,,,,,,,,,
3 / 6â€ƒ(50,,,,,,,,,,,,,,,,
Indian National Congress,2,Steady,,,,,,,,,,,,,,
2 / 6â€ƒ(33,,,,,,,,,,,,,,,,
Independent,1,Steady,Third Front,,,,,,,,,,,,,
2 / 6â€ƒ(33,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jharkhand (14),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Jharkhan,,,,,,,,,,,,,,,,
8,2,2,1,1,,,,,,,,,,,,
BJP,JVM,JMM,INC,IND,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,8,7,National Democratic Alliance,,,,,,,,,,,,,
8 / 14â€ƒ(57,,,,,,,,,,,,,,,,
Jharkhand Vikas Morcha (Prajatantrik),1,1,,,,,,,,,,,,,,
1 / 14â€ƒ(7,,,,,,,,,,,,,,,,
Jharkhand Mukti Morcha,2,2,United Progressive Alliance,,,,,,,,,,,,,
2 / 14â€ƒ(14,,,,,,,,,,,,,,,,
Indian National Congress,1,5,,,,,,,,,,,,,,
1 / 14â€ƒ(7,,,,,,,,,,,,,,,,
Independent,2,2,Others,,,,,,,,,,,,,
2 / 14â€ƒ(14,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Karnataka (28),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Karnatak,,,,,,,,,,,,,,,,
19,6,3,,,,,,,,,,,,,,
BJP,INC,JD(S),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,19,1,National Democratic Alliance,,,,,,,,,,,,,
19 / 28â€ƒ(68,,,,,,,,,,,,,,,,
Indian National Congress,6,2,United Progressive Alliance,,,,,,,,,,,,,
6 / 28â€ƒ(21,,,,,,,,,,,,,,,,
Janata Dal (Secular),3,1,Others,,,,,,,,,,,,,
3 / 28â€ƒ(11,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kerala (20),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Keral,,,,,,,,,,,,,,,,
13,4,3,1,,,,,,,,,,,,,
INC,CPI(M),IUML,KC(M),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,13,13,United Progressive Alliance,,,,,,,,,,,,,
13 / 20â€ƒ(65,,,,,,,,,,,,,,,,
Indian Union Muslim League,2,1,,,,,,,,,,,,,,
2 / 20â€ƒ(10,,,,,,,,,,,,,,,,
Kerala Congress (M),1,1,,,,,,,,,,,,,,
1 / 20â€ƒ(5,,,,,,,,,,,,,,,,
Communist Party of India (Marxist),4,9,Left Democratic Front,,,,,,,,,,,,,
4 / 20â€ƒ(20,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Lakshwadeep (1),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Lakshadwee,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
INC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,1,1,United Progressive Alliance,,,,,,,,,,,,,
Nationalist Congress Party,0,Steady,,,,,,,,,,,,,,
Janata Dal (United),0,1,Others,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Madhya Pradesh (29),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Madhya Prades,,,,,,,,,,,,,,,,
16,12,1,,,,,,,,,,,,,,
BJP,INC,BSP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Seats won,Seat Change,Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,16,9,National Democratic Alliance,,,,,,,,,,,,,
Indian National Congress,12,8,United Progressive Alliance,,,,,,,,,,,,,
Bahujan Samaj Party,1,1,Others,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Maharashtra (48),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Maharashtr,,,,,,,,,,,,,,,,
17,11,9,8,1,1,1,,,,,,,,,,
INC,SHS,BJP,NCP,BVA,SWP,IND,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,17,4,United Progressive Alliance,,,,,,,,,,,,,
Nationalist Congress Party,8,1,,,,,,,,,,,,,,
Shiv Sena,11,1,National Democratic Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,9,4,,,,,,,,,,,,,,
Swabhimani Paksha,1,1,,,,,,,,,,,,,,
Bahujan Vikas Aaghadi,1,1,Others,,,,,,,,,,,,,
Independent,1,Steady,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manipur (2),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Manipu,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
INC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,2,1,United Progressive Alliance,,,,,,,,,,,,,
People's Democratic Alliance,0,1,National Democratic Alliance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Meghalaya (2),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Meghalay,,,,,,,,,,,,,,,,
1,1,,,,,,,,,,,,,,,
INC,NCP,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,1,1,United Progressive Alliance,,,,,,,,,,,,,
Nationalist Congress Party,1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mizoram (1),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Mizora,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
INC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,1,1,United Progressive Alliance,,,,,,,,,,,,,
Mizo National Front,0,1,Others,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nagaland (1),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Nagalan,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
NPF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Naga People's Front,1,Steady,Others,,,,,,,,,,,,,
Indian National Congress,0,Steady,United Progressive Alliance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Odisha (21),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Odish,,,,,,,,,,,,,,,,
14,6,1,,,,,,,,,,,,,,
BJD,INC,CPI,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Biju Janata Dal,14,3,Third Front,,,,,,,,,,,,,
Indian National Congress,6,4,United Progressive Alliance,,,,,,,,,,,,,
Communist Party of India (Marxist),1,1,Third Front,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Puducherry (1),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Puducherr,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
INC,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,1,1,United Progressive Alliance,,,,,,,,,,,,,
Pattali Makkal Katchi,0,1,Third Front,,,,,,,,,,,,,
All India Anna Dravida Munnetra Kazhagam,0,Steady,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Punjab (13),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Punja,,,,,,,,,,,,,,,,
8,4,1,,,,,,,,,,,,,,
INC,SAD,BJP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,8,6,United Progressive Alliance,,,,,,,,,,,,,
Shiromani Akali Dal,4,4,National Democratic Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,1,2,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rajasthan (25),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Rajastha,,,,,,,,,,,,,,,,
20,4,1,,,,,,,,,,,,,,
INC,BJP,IND,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Indian National Congress,20,16,United Progressive Alliance,,,,,,,,,,,,,
Bharatiya Janata Party,4,17,National Democratic Alliance,,,,,,,,,,,,,
Independent,1,1,Others,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sikkim (1),,,,,,,,,,,,,,,,
